USE_YMD,RTE_ID,RTE_NO,RTE_NM,STOPS_ID,STOPS_ARS_NO,SBWY_STNS_NM,GTON_TNOPE,GTOFF_TNOPE,REG_YMD
20250101,11110001,100,100번(하계동~용산구청),100000003,01003,명륜3가.성대입구(00030),82.0,97.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000057,02156,을지로입구.로얄호텔(00079),118.0,40.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000060,02159,을지로2가.파인에빈뉴(00080),84.0,30.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000173,03267,서빙고역교차로(00062),14.0,10.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000061,02160,을지로3가(00035),71.0,150.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000062,02161,을지로3가(00081),51.0,23.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000063,02162,을지로4가(00034),30.0,82.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000102,01198,원남동(00032),84.0,71.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000067,02166,을지로5가.중부시장(00083),16.0,50.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000070,02169,을지로6가.국립중앙의료원(00084),46.0,78.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000273,11374,서울시립북서울미술관(00003),21.0,3.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000002,08002,길음2동주민센터(00099),110.0,56.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000279,11380,목련아파트상가(00007),137.0,42.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000280,11381,중계목화아파트4단지(00008),52.0,13.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000353,11454,하계우성아파트(00013),264.0,20.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000351,11452,하계극동아파트(00014),81.0,28.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000238,11339,월계보건지소(00015),136.0,41.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000239,11340,월계보건지소(00108),70.0,183.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000352,11453,하계시영아파트(00109),22.0,162.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000341,11442,하계현대아파트(00116),8.0,72.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000257,11358,롯데마트(00117),34.0,53.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000009,08009,삼선교.한성대학교(00028),49.0,136.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000002,01002,창경궁.서울대학교병원(00031),48.0,54.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000010,08010,삼선교.한성대학교.조소앙활동터(00095),155.0,80.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000265,11366,중계역(00120),6.0,20.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000272,11373,중계역(00004),27.0,2.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000286,11387,노원평생학습관(00002),9.0,0.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000275,11376,중계역2번출구(00005),87.0,12.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000277,11378,중계3단지목련아파트(00006),17.0,12.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000337,11438,노원경찰서(00009),111.0,18.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000335,11436,하계1동주민센터(00010),60.0,14.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000333,11434,골마을근린공원(00011),148.0,23.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000325,11426,하계역(00012),215.0,89.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000211,11311,인덕대학교(00016),110.0,90.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000210,11310,월계주공108동앞롯데캐슬루나아파트(00017),157.0,72.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000098,09186,오현초등학교(00018),186.0,130.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000099,09187,북서울꿈의숲(00020),140.0,39.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000100,09188,송중동한일유엔아이(00021),52.0,62.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000101,09189,창문여고앞(00022),112.0,163.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000102,09190,숭곡초등학교입구(00023),69.0,128.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000001,08001,길음2동주민센터(00024),40.0,135.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000003,08003,길음뉴타운(00025),84.0,159.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000004,08004,길음뉴타운(00098),140.0,71.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000011,08101,숭곡초교입구(00100),117.0,80.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000012,08102,창문여고(00101),162.0,159.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000013,08103,동방고개(00102),35.0,51.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000014,08104,장위동그린빌아파트(00103),11.0,99.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000015,08105,북서울꿈의숲(00104),109.0,154.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000016,08106,장월초등학교(00105),108.0,148.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000236,11337,롯데캐슬루나아파트(00106),84.0,91.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000237,11338,인덕대앞(00107),107.0,111.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000324,11425,하계미성아파트.을지병원(00111),123.0,132.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000328,11429,한성여객종점(00112),8.0,44.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000334,11435,서울온천(00114),15.0,108.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000336,11437,노원경찰서.혜성여고(00115),11.0,108.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000276,11377,상명초등학교(00118),14.0,21.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000274,11375,중계건영2차아파트(00119),5.0,55.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000343,11444,하계한신청구아파트(00121),0.0,16.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000005,08005,미아리고개.미아리예술극장(00026),66.0,90.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000007,08007,돈암사거리.성신여대입구(00027),61.0,196.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000008,08008,돈암사거리.성신여대입구(00096),264.0,134.0,20250104
20250101,11110001,100,100번(하계동~용산구청),107000006,08006,미아리고개.미아리예술극장(00097),48.0,52.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000151,01247,광장시장(00033),48.0,77.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000069,02168,을지로5가(00087),73.0,8.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000123,01219,방송통신대.이화장(00092),56.0,63.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000124,01220,혜화역2번출구.마로니에공원(00093),123.0,56.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000133,01229,혜화역.동성중고(장면총리가옥)(00094),189.0,37.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000102,02206,퇴계로6가(00086),28.0,24.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000114,02219,남대문시장앞.이회영활동터(00077),56.0,85.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000043,02142,롯데영프라자(00078),123.0,91.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000059,02158,을지로2가.기업은행본점.서울노동청(00036),71.0,146.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000060,03154,용산구청(00058),56.0,2.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000061,03155,한강중학교(00056),24.0,109.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000059,03153,용산구청(00057),65.0,53.0,20250104
20250101,11110001,100,100번(하계동~용산구청),100000005,01005,혜화동로터리.여운형활동터(00029),57.0,135.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000175,03269,한강중학교(00059),27.0,2.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000176,03270,금호베스트빌앞(00060),4.0,0.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000008,02008,숭례문(00040),32.0,58.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000387,11489,한성여객종점(00122),0.0,5.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000327,11428,한성여객종점(00001),10.0,3.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000063,03157,서빙고역1번출구(00055),35.0,50.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000354,11455,하계장미아파트(00110),22.0,232.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000243,03336,서빙고초등학교(00061),0.0,1.0,20250104
20250101,11110001,100,100번(하계동~용산구청),108000373,09312,꿈의숲주차장입구(00019),79.0,64.0,20250104
20250101,11110001,100,100번(하계동~용산구청),110000695,11433,대진고등학교(00113),9.0,103.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000329,02099,숭례문(가상)(00039),0.0,16.0,20250104
20250101,11110001,100,100번(하계동~용산구청),101000032,02127,북창동.남대문시장(00038),52.0,40.0,20250104
20250101,11110001,100,100번(하계동~용산구청),102000121,03215,이촌동두산위브트레지움.한강대우아파트(00069),203.0,49.0,20250104
